respID,qID,altID,attID,attribute
1,1,1,3,Number of previous owners
1,1,2,5,Where was the vehicle previously used?
1,1,3,4,Vehicle history report available
1,1,4,6,Vehicle fuel efficiency
1,1,5,10,Pre-purchase independent inspection
1,2,1,14,Vehicle seating capacity
1,2,2,9,Pre-approved loan for the vehicle
1,2,3,2,Brand/Make
1,2,4,11,Test-driving the vehicle
1,2,5,8,Return window
1,3,1,13,Purchase price
1,3,2,1,Certified Pre-Owned (CPO) vehicle
1,3,3,17,Cargo space
1,3,4,15,Vehicle age
1,3,5,16,Interior/exterior condition
1,4,1,7,Vehicle warranty
1,4,2,12,Mileage on the vehicle
1,4,3,16,Interior/exterior condition
1,4,4,5,Where was the vehicle previously used?
1,4,5,15,Vehicle age
1,5,1,13,Purchase price
1,5,2,12,Mileage on the vehicle
1,5,3,14,Vehicle seating capacity
1,5,4,3,Number of previous owners
1,5,5,4,Vehicle history report available
1,6,1,17,Cargo space
1,6,2,10,Pre-purchase independent inspection
1,6,3,7,Vehicle warranty
1,6,4,6,Vehicle fuel efficiency
1,6,5,9,Pre-approved loan for the vehicle
2,1,1,6,Vehicle fuel efficiency
2,1,2,17,Cargo space
2,1,3,7,Vehicle warranty
2,1,4,10,Pre-purchase independent inspection
2,1,5,13,Purchase price
2,2,1,11,Test-driving the vehicle
2,2,2,15,Vehicle age
2,2,3,2,Brand/Make
2,2,4,5,Where was the vehicle previously used?
2,2,5,4,Vehicle history report available
2,3,1,12,Mileage on the vehicle
2,3,2,3,Number of previous owners
2,3,3,14,Vehicle seating capacity
2,3,4,9,Pre-approved loan for the vehicle
2,3,5,1,Certified Pre-Owned (CPO) vehicle
2,4,1,16,Interior/exterior condition
2,4,2,8,Return window
2,4,3,7,Vehicle warranty
2,4,4,12,Mileage on the vehicle
2,4,5,4,Vehicle history report available
2,5,1,8,Return window
2,5,2,14,Vehicle seating capacity
2,5,3,17,Cargo space
2,5,4,2,Brand/Make
2,5,5,10,Pre-purchase independent inspection
2,6,1,11,Test-driving the vehicle
2,6,2,5,Where was the vehicle previously used?
2,6,3,6,Vehicle fuel efficiency
2,6,4,15,Vehicle age
2,6,5,9,Pre-approved loan for the vehicle
3,1,1,17,Cargo space
3,1,2,1,Certified Pre-Owned (CPO) vehicle
3,1,3,4,Vehicle history report available
3,1,4,8,Return window
3,1,5,16,Interior/exterior condition
3,2,1,2,Brand/Make
3,2,2,10,Pre-purchase independent inspection
3,2,3,3,Number of previous owners
3,2,4,14,Vehicle seating capacity
3,2,5,7,Vehicle warranty
3,3,1,13,Purchase price
3,3,2,11,Test-driving the vehicle
3,3,3,12,Mileage on the vehicle
3,3,4,6,Vehicle fuel efficiency
3,3,5,9,Pre-approved loan for the vehicle
3,4,1,5,Where was the vehicle previously used?
3,4,2,15,Vehicle age
3,4,3,6,Vehicle fuel efficiency
3,4,4,8,Return window
3,4,5,5,Where was the vehicle previously used?
3,5,1,14,Vehicle seating capacity
3,5,2,16,Interior/exterior condition
3,5,3,10,Pre-purchase independent inspection
3,5,4,9,Pre-approved loan for the vehicle
3,5,5,13,Purchase price
3,6,1,15,Vehicle age
3,6,2,7,Vehicle warranty
3,6,3,2,Brand/Make
3,6,4,1,Certified Pre-Owned (CPO) vehicle
3,6,5,11,Test-driving the vehicle
4,1,1,2,Brand/Make
4,1,2,10,Pre-purchase independent inspection
4,1,3,14,Vehicle seating capacity
4,1,4,8,Return window
4,1,5,17,Cargo space
4,2,1,11,Test-driving the vehicle
4,2,2,9,Pre-approved loan for the vehicle
4,2,3,16,Interior/exterior condition
4,2,4,1,Certified Pre-Owned (CPO) vehicle
4,2,5,6,Vehicle fuel efficiency
4,3,1,5,Where was the vehicle previously used?
4,3,2,12,Mileage on the vehicle
4,3,3,7,Vehicle warranty
4,3,4,3,Number of previous owners
4,3,5,4,Vehicle history report available
4,4,1,13,Purchase price
4,4,2,15,Vehicle age
4,4,3,9,Pre-approved loan for the vehicle
4,4,4,5,Where was the vehicle previously used?
4,4,5,10,Pre-purchase independent inspection
4,5,1,8,Return window
4,5,2,7,Vehicle warranty
4,5,3,13,Purchase price
4,5,4,1,Certified Pre-Owned (CPO) vehicle
4,5,5,16,Interior/exterior condition
4,6,1,11,Test-driving the vehicle
4,6,2,15,Vehicle age
4,6,3,2,Brand/Make
4,6,4,3,Number of previous owners
4,6,5,17,Cargo space
5,1,1,12,Mileage on the vehicle
5,1,2,10,Pre-purchase independent inspection
5,1,3,2,Brand/Make
5,1,4,3,Number of previous owners
5,1,5,14,Vehicle seating capacity
5,2,1,15,Vehicle age
5,2,2,5,Where was the vehicle previously used?
5,2,3,16,Interior/exterior condition
5,2,4,1,Certified Pre-Owned (CPO) vehicle
5,2,5,13,Purchase price
5,3,1,17,Cargo space
5,3,2,6,Vehicle fuel efficiency
5,3,3,8,Return window
5,3,4,4,Vehicle history report available
5,3,5,7,Vehicle warranty
5,4,1,11,Test-driving the vehicle
5,4,2,9,Pre-approved loan for the vehicle
5,4,3,5,Where was the vehicle previously used?
5,4,4,15,Vehicle age
5,4,5,16,Interior/exterior condition
5,5,1,8,Return window
5,5,2,3,Number of previous owners
5,5,3,9,Pre-approved loan for the vehicle
5,5,4,7,Vehicle warranty
5,5,5,13,Purchase price
5,6,1,12,Mileage on the vehicle
5,6,2,17,Cargo space
5,6,3,10,Pre-purchase independent inspection
5,6,4,4,Vehicle history report available
5,6,5,14,Vehicle seating capacity
6,1,1,10,Pre-purchase independent inspection
6,1,2,3,Number of previous owners
6,1,3,2,Brand/Make
6,1,4,11,Test-driving the vehicle
6,1,5,1,Certified Pre-Owned (CPO) vehicle
6,2,1,7,Vehicle warranty
6,2,2,4,Vehicle history report available
6,2,3,5,Where was the vehicle previously used?
6,2,4,16,Interior/exterior condition
6,2,5,12,Mileage on the vehicle
6,3,1,14,Vehicle seating capacity
6,3,2,9,Pre-approved loan for the vehicle
6,3,3,13,Purchase price
6,3,4,8,Return window
6,3,5,6,Vehicle fuel efficiency
6,4,1,17,Cargo space
6,4,2,15,Vehicle age
6,4,3,8,Return window
6,4,4,6,Vehicle fuel efficiency
6,4,5,14,Vehicle seating capacity
6,5,1,1,Certified Pre-Owned (CPO) vehicle
6,5,2,16,Interior/exterior condition
6,5,3,7,Vehicle warranty
6,5,4,11,Test-driving the vehicle
6,5,5,3,Number of previous owners
6,6,1,4,Vehicle history report available
6,6,2,12,Mileage on the vehicle
6,6,3,9,Pre-approved loan for the vehicle
6,6,4,13,Purchase price
6,6,5,15,Vehicle age
7,1,1,3,Number of previous owners
7,1,2,15,Vehicle age
7,1,3,1,Certified Pre-Owned (CPO) vehicle
7,1,4,4,Vehicle history report available
7,1,5,7,Vehicle warranty
7,2,1,10,Pre-purchase independent inspection
7,2,2,11,Test-driving the vehicle
7,2,3,12,Mileage on the vehicle
7,2,4,8,Return window
7,2,5,14,Vehicle seating capacity
